原始评论,清洗后评论
最适合影视化的插画作品就这么给毁了，跟环形物语一样拍成剧多好？ 罗素兄弟用实力证明自己离了复联啥也不是,最适合影视化的插画作品就这么给毁了 跟环形物语一样拍成剧多好 罗素兄弟用实力证明自己离了复联啥也不是
形式大于内容。这么好的特效，套在这么一个简单的故事上，暴殄天物。,形式大于内容 这么好的特效 套在这么一个简单的故事上 暴殄天物
一流的原著，一流的演员，一流的特效，三流的导演编剧！标准的不能再标准的爆米花电影剧情，没有任何亮点！所有桥段和故事走向都在意料之中！看腻了好吗？看腻了！,一流的原著 一流的演员 一流的特效 三流的导演编剧 标准的不能再标准的爆米花电影剧情 没有任何亮点 所有桥段和故事走向都在意料之中 看腻了好吗 看腻了
看完了，还行，低配版头号玩家，看的是枪版,看完了 还行 低配版头号玩家 看的是枪版
老套且工整的娱乐大片，梦工厂式的青少年冒险搭配迪士尼式的真人童话，外加一点《头号玩家》和《未来战警》的设定元素，热热闹闹一锅乱炖，一场人畜无害的“机器人总动员”。,老套且工整的娱乐大片 梦工厂式的青少年冒险搭配迪士尼式的真人童话 外加一点 头号玩家 和 未来战警 的设定元素 热热闹闹一锅乱炖 一场人畜无害的 机器人总动员
机器人乐园大冒险，剧情很简单——女主拯救弟弟的故事线下探讨人与机器人间的关系。原著是个绘本，所以整个故事的走向更看重编剧二创的能力水平，风格定位偏向《查理》和《梦游仙境》，刚看时推测是不是违背阿西莫夫的机器人三定律而产生的对抗战争，没想到竟是个美洲公路探险。会有低配《头号玩家》头衔的一说，二者都运用了远端神经装置，这在《未来战警》里也出现过，但其实风格具有相当大的差异。帕拉特自带喜感，小11有点发福难怪路宣时候被吐槽，众多机器人的设定还挺友善的，邮局小女孩机器人会联想到今敏的《造梦机器》，突然有点伤感。主题虽然不如《芬奇》那样深邃，但起码比同档的《米奇17》观影体验好的多。,机器人乐园大冒险 剧情很简单 女主拯救弟弟的故事线下探讨人与机器人间的关系 原著是个绘本 所以整个故事的走向更看重编剧二创的能力水平 风格定位偏向 查理 和 梦游仙境 刚看时推测是不是违背阿西莫夫的机器人三定律而产生的对抗战争 没想到竟是个美洲公路探险 会有低配 头号玩家 头衔的一说 二者都运用了远端神经装置 这在 未来战警 里也出现过 但其实风格具有相当大的差异 帕拉特自带喜感 小11有点发福难怪路宣时候被吐槽 众多机器人的设定还挺友善的 邮局小女孩机器人会联想到今敏的 造梦机器 突然有点伤感 主题虽然不如 芬奇 那样深邃 但起码比同档的 米奇17 观影体验好的多
儿童快餐，又一部拿着阔绰预算浪费资源的流媒体大制作垃圾，最笨拙无脑的公路冒险过家家，几乎没有一场戏能够让人真正投入进去，背离了原作冰冷深邃的气质与思想，只剩下空洞的数字特效堆砌，永远撕不掉星爵标签的帕拉特和逐渐卡戴珊化的小11联手贡献机械式表演，千万不要被罗素兄弟在漫威期间缔造的辉煌履历给骗了，签约网飞之后拍的这几部扑街烂片才是他们真实的创作水平。,儿童快餐 又一部拿着阔绰预算浪费资源的流媒体大制作垃圾 最笨拙无脑的公路冒险过家家 几乎没有一场戏能够让人真正投入进去 背离了原作冰冷深邃的气质与思想 只剩下空洞的数字特效堆砌 永远撕不掉星爵标签的帕拉特和逐渐卡戴珊化的小11联手贡献机械式表演 千万不要被罗素兄弟在漫威期间缔造的辉煌履历给骗了 签约网飞之后拍的这几部扑街烂片才是他们真实的创作水平
不敢想，让斯皮尔伯格来拍会多好看……,不敢想 让斯皮尔伯格来拍会多好看
把原著设定拍窄了，中段成长部分不尽兴，放低期望还是蛮好看的，不过更适合改编游戏。罗素客串看吐了。,把原著设定拍窄了 中段成长部分不尽兴 放低期望还是蛮好看的 不过更适合改编游戏 罗素客串看吐了
5.4分。好莱坞又糟蹋了一部有优秀且极具风格化原作的故事，并往废墟中注入大量的俗套烂梗。包括但不限于：《芬奇》，《机器人总动员》，神似《头号玩家》第三幕和结尾（二者同样都是Alan Silvestri配乐）。 原作留白很多，将故事详细完整地视觉化需要一些想象力。于是，就找来了代表作完全不以想象力著称的罗素兄弟。 原作中带有梦幻色彩的衰败感，只在这部电影里短暂存在于几个画面之中。取而代之的是烂俗的“生存与灭亡”“邪恶科技公司”“反抗系统”，以及被漫威这台大机器荼毒至深的编剧所写出的无聊又聒噪的打嘴炮台词。 到最后，仿佛意识到自己还有原作，才慌忙提及“虚幻与现实”——还是以无聊的说教方式。 或许请Brad Bird（《明日世界》《碟中谍4》）来执导是个更好的选择，至少他的真人电影作品很有想象力。,5 4分 好莱坞又糟蹋了一部有优秀且极具风格化原作的故事 并往废墟中注入大量的俗套烂梗 包括但不限于 芬奇 机器人总动员 神似 头号玩家 第三幕和结尾 二者同样都是Alan Silvestri配乐 原作留白很多 将故事详细完整地视觉化需要一些想象力 于是 就找来了代表作完全不以想象力著称的罗素兄弟 原作中带有梦幻色彩的衰败感 只在这部电影里短暂存在于几个画面之中 取而代之的是烂俗的 生存与灭亡 邪恶科技公司 反抗系统 以及被漫威这台大机器荼毒至深的编剧所写出的无聊又聒噪的打嘴炮台词 到最后 仿佛意识到自己还有原作 才慌忙提及 虚幻与现实 还是以无聊的说教方式 或许请Brad Bird 明日世界 碟中谍4 来执导是个更好的选择 至少他的真人电影作品很有想象力
